loss,val_loss,learning rate
0.014014079235494137,0.012436801567673683,0.001
0.011854462325572968,0.011701916344463825,0.001
0.01153408270329237,0.01147263403981924,0.001
0.011347634717822075,0.011332494206726551,0.001
0.011225666850805283,0.01123350951820612,0.001
0.01114184781908989,0.011152411811053753,0.001
0.011075971648097038,0.011095110327005386,0.001
0.011023624800145626,0.011173139326274395,0.001
0.010985873639583588,0.011014185845851898,0.001
0.010944806039333344,0.010993755422532558,0.001
0.010909770615398884,0.01097060739994049,0.001
0.010881753638386726,0.010953418910503387,0.001
0.010860830545425415,0.010939022526144981,0.001
0.010834330692887306,0.01092217955738306,0.001
0.010735763236880302,0.010848376899957657,0.000100000005
0.010721778497099876,0.010849203914403915,0.000100000005
0.010716712102293968,0.010846253484487534,0.000100000005
0.010709421709179878,0.010850482620298862,0.000100000005
0.010703101754188538,0.010847971774637699,0.000100000005
0.010697934776544571,0.01085464283823967,0.000100000005
0.010682378895580769,0.010845248587429523,5e-05
0.010678885504603386,0.010842731222510338,5e-05
0.010675202123820782,0.010842079296708107,5e-05
0.010672088712453842,0.010845603421330452,5e-05
0.010667729191482067,0.010845071636140347,5e-05
0.010665150359272957,0.010844038799405098,5e-05
0.01066182367503643,0.010842932388186455,5e-05
0.010659098625183105,0.010844873264431953,5e-05
0.010655959136784077,0.01084347814321518,5e-05
0.010652318596839905,0.010843089781701565,5e-05
